ID,유스케이스명,설명,주요 액터,사전 조건,사후 조건,비고
UC-A-001,관리자 페이지 조회,대시보드에서 미승인 주문·QnA·재고 부족·통계 등 요약 현황 확인,관리자(ADMIN/MANAGER),관리자 로그인 상태,대시보드 위젯 데이터 렌더링 완료,최신 5~10건 집계
UC-A-002,회원 관리 (목록·상세 조회),전체 회원 목록 조회 / 특정 회원 상세 조회 / 탈퇴 회원 목록 조회,관리자(ADMIN/MANAGER),관리자 로그인 상태,회원 목록 및 상세 정보 출력,이름/이메일 검색·soft delete 회원 포함
UC-A-003,회원 관리 (강퇴·등급 변경),회원 상태를 DEACTIVATE로 변경(강퇴) / 회원 역할을 USER·MANAGER·ADMIN으로 변경,관리자(ADMIN),대상 회원 존재·ADMIN 권한 보유,memberStatus 또는 memberRole 변경 완료,ADMIN 전용 기능
UC-A-004,관리자 카테고리 관리,"카테고리 등록, 수정, 상태 변경",관리자(ADMIN),관리자 로그인,카테고리 정보 반영,soft delete 방식
UC-A-005,관리자 상품 관리,"상품 등록, 수정, 삭제",관리자(ADMIN/MANAGER),"관리자 로그인, 카테고리 존재",상품 정보 반영,"썸네일 필수, 파일 서버 저장"
UC-A-006,관리자 주문 조회 및 상태 관리,전체 주문 목록 조회 및 상태 변경,관리자(ADMIN/MANAGER),관리자 로그인,주문 상태 변경 반영,PENDING→PAYED→APPROVAL 순
UC-A-007,관리자 주문 취소 처리,주문 강제 취소 및 결제 취소 연계,관리자(ADMIN/MANAGER),주문이 취소 가능한 상태,주문·결제 취소 저장,배송 진행 시 취소 제한
UC-A-008,관리자 배송 관리,"배송 목록 조회, 운송장 등록, 배송 상태 변경",관리자(ADMIN/MANAGER),관리자 로그인,배송 정보 최신 반영,사용자 배송 조회와 연동
UC-A-009,공지사항 등록/수정,중요 안내 사항 게시 및 관리,관리자(ADMIN/MANAGER),관리자 로그인,목록 최상단 노출 가능,is_fixed 플래그 활용
UC-A-010,Q&A 답변 등록,사용자 문의에 대한 관리자 응대,관리자(ADMIN/MANAGER),관리자 로그인,질문 상태 COMPLETE 변경,parent_id 연결 필수
UC-A-011,Q&A 비밀글 처리,작성자 및 관리자만 조회 제한,관리자(ADMIN/MANAGER),관리자 로그인,접근 권한 상속,하위 답변 자동 상속
UC-A-012,관리자 리뷰 관리,전체 리뷰 목록 조회 및 부적절 리뷰 삭제 처리,관리자(ADMIN/MANAGER),관리자 로그인 상태,리뷰 조회 또는 soft delete 처리 완료,soft delete 방식 / REQ-A-035~037 연관
UC-M-001,회원가입,이메일·비밀번호·이름·전화번호·주소 입력 후 계정 생성,사용자(비회원),로그아웃 상태,member 테이블에 저장·로그인 페이지 이동,email UNIQUE·BCrypt 암호화
UC-M-002,로그인,이메일+비밀번호로 JWT Access/Refresh Token 발급,사용자(USER),회원가입 완료·로그아웃 상태,Access/Refresh Token 발급·메인 이동,BCrypt 검증
UC-M-003,로그아웃,JWT 토큰 무효화 및 클라이언트 토큰 삭제,사용자(USER),로그인 상태,클라이언트 토큰 삭제 완료,클라이언트 측 토큰 제거
UC-M-004,마이페이지,주문 현황 카운트·최신 주문·리뷰·QnA 요약 조회,사용자(USER),로그인 상태,마이페이지 대시보드 렌더링 완료,최신 5~10건 집계
UC-M-005,회원 정보 관리,이름·전화번호·주소 수정 / 비밀번호 변경 / 회원 탈퇴,사용자(USER),로그인·ACTIVATE 상태,정보 수정 또는 탈퇴 처리 완료,soft delete·BCrypt 재암호화
UC-M-006,카테고리 조회,상위·하위 카테고리 목록 조회,사용자(USER/비회원),활성 카테고리 존재,카테고리 목록 표시,상품 필터링 연계
UC-M-007,상품 탐색,"상품 목록 조회, 키워드 검색, 카테고리 필터",사용자(USER/비회원),노출 가능한 상품 존재,조건에 맞는 상품 목록 표시,페이징 처리
UC-M-008,상품 상세 조회,상품 이미지·가격·설명·재고 상세 확인,사용자(USER/비회원),상품 존재,상품 상세 정보 표시,"조회수 증가, 관련 상품 추천"
UC-M-009,장바구니 관리,"상품 담기, 수량·선택 여부 변경, 상품 삭제",사용자(USER),로그인 상태,장바구니 항목 갱신,동일 상품 수량 증가 처리
UC-M-010,주문 생성,배송지 입력 후 주문·주문상품·배송 정보 저장,사용자(USER),"로그인, 주문 상품 존재",주문번호 생성 및 데이터 저장,"트랜잭션 처리, 스냅샷 저장"
UC-M-011,결제 처리,결제 요청·완료·실패 처리,사용자(USER),결제 가능한 주문 존재,결제 결과 저장 및 주문 상태 갱신,PG 연동 고려
UC-M-012,주문 취소 및 결제 취소,주문 취소 요청 및 결제 취소 연계 처리,사용자(USER),"로그인, 본인 주문·취소 가능 상태",주문·결제 취소 결과 저장,배송 시작 후 취소 제한
UC-M-013,배송 조회,주문별 배송 상태 및 운송장 번호 확인,사용자(USER),"로그인, 본인 주문 존재",배송 상태·운송장 표시,관리자 배송 관리와 연동
UC-M-014,공지사항 조회,게시된 공지 리스트 확인,사용자(USER/비회원),시스템 접속,조회수(view_count) 증가,삭제된 글 제외 필터
UC-M-015,상품 리뷰 작성,구매 확정 상품 후기 등록,사용자(USER),주문 완료 상태,리뷰 데이터 저장,평점 1~5 필수 입력
UC-M-016,다중 이미지 업로드,리뷰에 포함될 사진 첨부,사용자(USER),리뷰 작성 중,이미지 테이블 개별 저장,1:N 정규화 구조 준수
UC-M-017,리뷰 추천/공감,타 사용자의 리뷰에 좋아요 표시,사용자(USER),로그인 상태,like_count 증가,중복 추천 방지 로직
UC-M-018,Q&A 비밀글 처리,작성자 및 관리자만 조회 제한,사용자(USER),Q&A 글 작성 중,접근 권한 상속,하위 답변 자동 상속
UC-M-019,Q&A 재문의 등록,답변 완료 글에 추가 질의,사용자(USER),답변 완료 상태,새로운 계층 생성,depth 2 이상 생성
UC-M-020,Q&A 질문 등록,상품 관련 1:1 문의 작성,사용자(USER),로그인 상태,질문 저장 완료,depth 0으로 저장
